place_id,name,lat,lng,address,source,num_shops,total_reviews,score_avg_rating,score_review_density,score_variety,score_hours,shop_quality_score,density_score,rz_avg,residential_coverage,zone_breakdown,population_500m,population_score,top_shops
ChIJjVRG6GVNFmsR1sDCsXw-w3Q,Coles Canberra Civic,-35.2782068,149.1339409,"Bunda St, Canberra ACT 2601, Australia",google_places,60,15244,3.79,10.0,4.17,7.69,5.94,1.65,2.61,0.126,"{""DES"": 47045, ""CF"": 15314, ""PRZ1"": 34474, ""TSZ1"": 75941, ""CZ1"": 252627, ""RZ4"": 22632, ""CZ2"": 14667, ""CZ3"": 47293, ""RZ1"": 42706, ""PRZ2"": 33415, ""RZ5"": 15599, ""CZ5"": 33463, ""CZ6"": 4916}",1983,7.18,"[{""name"": ""Community Info Hub, Canberra"", ""rating"": 5, ""reviews"": 8}, {""name"": ""Rodger Bartholomew"", ""rating"": 4.8, ""reviews"": 85}, {""name"": ""Cue Canberra City"", ""rating"": 4.8, ""reviews"": 12}]"
ChIJJR1ty_9NFmsRLkO6neAbgfE,The Corner Market,-35.2788406,149.1257148,"Shop 1 & 3/113-119 Marcus Clarke St, Canberra ACT 2601, Australia",google_places,60,3359,4.42,6.81,5.83,0.0,4.51,0.0,0.0,0.0,"{""DES"": 296526, ""CF"": 13762, ""TSZ1"": 76055, ""CZ1"": 214331, ""PRZ1"": 14800, ""CZ2"": 17345, ""CZ5"": 7304}",2727,9.89,"[{""name"": ""Hobart Place Dental"", ""rating"": 5, ""reviews"": 16}, {""name"": ""AMC Architecture"", ""rating"": 5, ""reviews"": 5}, {""name"": ""CMS Insurance Services"", ""rating"": 5, ""reviews"": 5}]"
ChIJq_5mmOZNFmsR_FFQsHmgaf0,All In One Super Mart CANBERRA,-35.2781544,149.1285259,"3/53 Alinga St, Canberra ACT 2601, Australia",google_places,60,14056,4.29,10.0,10.0,1.66,6.9,0.12,2.195,0.011,"{""DES"": 188901, ""CF"": 4790, ""TSZ1"": 65887, ""CZ1"": 291966, ""PRZ1"": 11186, ""RZ1"": 4313, ""RZ4"": 2855, ""CZ2"": 59839, ""CZ3"": 10368}",3200,10.0,"[{""name"": ""WOTLINK"", ""rating"": 5, ""reviews"": 15}, {""name"": ""AMC Architecture"", ""rating"": 5, ""reviews"": 5}, {""name"": ""Private I Marketing"", ""rating"": 5, ""reviews"": 5}]"
ChIJjQrir8hNFmsRl4XvpOFcnhQ,Buddys Convenience store,-35.2800618,149.1311151,"unit 1/161 London Cct, Canberra ACT 2601, Australia",google_places,60,13054,4.07,10.0,3.33,4.76,5.14,0.0,0.0,0.0,"{""DES"": 253641, ""CF"": 2285, ""TSZ1"": 52601, ""CZ1"": 310157, ""PRZ1"": 12006, ""CZ2"": 894, ""CZ3"": 3507, ""CZ5"": 79, ""CZ6"": 4911}",1141,4.12,"[{""name"": ""contentgroup"", ""rating"": 5, ""reviews"": 5}, {""name"": ""All IT Solutions"", ""rating"": 4.9, ""reviews"": 13}, {""name"": ""Canberra Day Spa"", ""rating"": 4.8, ""reviews"": 407}]"
ChIJWTAYr6FNFmsRedp6VVXl8_s,21 Capital Mart,-35.2841219,149.1246403,"Tenancy 2/21-23 Marcus Clarke St, Canberra ACT 2601, Australia",google_places,60,10434,3.71,9.54,9.17,0.3,6.1,0.0,0.0,0.0,"{""DES"": 536150, ""CF"": 22038, ""TSZ1"": 28549, ""CZ1"": 45925, ""CZ5"": 7352}",1222,4.41,"[{""name"": ""Rafferty's Catering Albury Wodonga"", ""rating"": 5, ""reviews"": 10}, {""name"": ""IQ Capital Group - Canberra Office"", ""rating"": 5, ""reviews"": 7}, {""name"": ""Clayton Utz"", ""rating"": 5, ""reviews"": 5}]"
ChIJYwc6r_JSFmsRP0aApfqZbpA,Woolworths Dickson,-35.249974,149.1386251,"1 Dickson Pl, Dickson ACT 2602, Australia",google_places,60,12134,3.84,9.9,10.0,4.24,7.29,3.48,1.744,0.399,"{""DES"": 1289, ""CF"": 63186, ""PRZ1"": 36633, ""TSZ1"": 74744, ""RZ1"": 121639, ""CZ3"": 60431, ""RZ2"": 77769, ""CZ5"": 37172, ""RZ3"": 56116, ""CZ2"": 38716, ""CZ1"": 37333, ""CZ6"": 35321}",1780,6.44,"[{""name"": ""Pass Go Home Loans Pty Ltd"", ""rating"": 5, ""reviews"": 65}, {""name"": ""Bookssorted Group"", ""rating"": 5, ""reviews"": 42}, {""name"": ""Murray Fisher Chiropractor Pty Ltd"", ""rating"": 5, ""reviews"": 27}]"
ChIJsc9euohSFmsRVHJ1pIvs4Ag,IGA Ainslie Supermarket,-35.261979,149.144987,"9/11 Edgar St, Ainslie ACT 2602, Australia",google_places,60,4804,5.21,7.67,10.0,5.1,7.36,2.0,1.0,0.837,"{""RZ1"": 536057, ""CF"": 1184, ""PRZ1"": 50622, ""TSZ1"": 43532, ""CZ4"": 8859}",1209,4.37,"[{""name"": ""Aesthetics Wellness Canberra"", ""rating"": 5, ""reviews"": 80}, {""name"": ""Thorson Photography"", ""rating"": 5, ""reviews"": 54}, {""name"": ""Isha Bae - Art Therapy & Sound Healing"", ""rating"": 5, ""reviews"": 12}]"
ChIJRfbd0OZNFmsR_Oq9eSO37jk,Daily Market Groceries Canberra City,-35.2768193,149.1254796,"Shop 5/35 Childers St, Canberra ACT 2601, Australia",google_places,60,4492,4.8,7.51,10.0,0.54,6.31,0.43,3.801,0.023,"{""DES"": 227799, ""CF"": 17182, ""TSZ1"": 73140, ""CZ1"": 183709, ""PRZ1"": 32235, ""PRZ2"": 36071, ""RZ1"": 970, ""RZ4"": 13621, ""CZ2"": 55415}",2947,10.0,"[{""name"": ""Credit Star Co Home Loans - Harbir S Hundal"", ""rating"": 5, ""reviews"": 41}, {""name"": ""Cycle Jam"", ""rating"": 5, ""reviews"": 8}, {""name"": ""WSP"", ""rating"": 5, ""reviews"": 6}]"
ChIJVzmXO5xNFmsR7A9NtN-0qP8,IGA,-35.2895698,149.1539791,"SHOP 5/10 Blamey Pl, Campbell ACT 2612, Australia",google_places,60,2182,5.57,5.8,10.0,2.99,6.65,2.59,1.293,0.63,"{""DES"": 6781, ""RZ1"": 284945, ""CF"": 63268, ""PRZ1"": 116026, ""TSZ1"": 41776, ""RZ2"": 118136, ""CZ4"": 9119}",991,3.57,"[{""name"": ""Campbell Dental Practice"", ""rating"": 5, ""reviews"": 157}, {""name"": ""The Campbell Vet"", ""rating"": 5, ""reviews"": 34}, {""name"": ""Authentic Dentistry Dr Michael Back, Campbell ACT"", ""rating"": 5, ""reviews"": 17}]"
ChIJb29AXXlNFmsReuO3oq8-vb0,Akuna Mini Mart,-35.2818526,149.1327116,"10 Akuna St, Canberra ACT 2601, Australia",google_places,60,10485,4.24,9.54,3.33,1.51,4.44,0.02,4.0,0.001,"{""DES"": 284588, ""CF"": 1373, ""PRZ1"": 41587, ""TSZ1"": 45224, ""CZ1"": 205354, ""CZ5"": 11544, ""RZ4"": 664, ""CZ6"": 49714}",1447,5.23,"[{""name"": ""Dominion Finance"", ""rating"": 5, ""reviews"": 132}, {""name"": ""Harrington Hall Lawyers"", ""rating"": 5, ""reviews"": 54}, {""name"": ""Beyond Bank"", ""rating"": 5, ""reviews"": 7}]"
